2020-08-28,733
2020-08-27,733
2020-08-26,733
2020-08-25,733
2020-08-24,733
2020-08-23,732
2020-08-22,732
2020-08-21,730
2020-08-20,729
2020-08-19,729
2020-08-18,729
2020-08-17,729
2020-08-16,728
2020-08-15,728
2020-08-14,725
2020-08-13,725
2020-08-12,724
2020-08-11,723
2020-08-10,723
2020-08-09,721
2020-08-08,721
2020-08-07,720
2020-08-06,719
2020-08-05,719
2020-08-04,719
2020-08-03,718
2020-08-02,718
2020-08-01,718
2020-07-31,718
2020-07-30,718
2020-07-29,716
2020-07-28,713
2020-07-27,713
2020-07-26,712
2020-07-25,712
2020-07-24,711
2020-07-23,711
2020-07-22,711
2020-07-21,710
2020-07-20,711
2020-07-19,711
2020-07-18,711
2020-07-17,711
2020-07-16,711
2020-07-15,710
2020-07-14,709
2020-07-13,708
2020-07-12,708
2020-07-11,706
2020-07-10,706
2020-07-09,706
2020-07-08,706
2020-07-07,706
2020-07-06,706
2020-07-05,706
2020-07-04,705
2020-07-03,705
2020-07-02,705
2020-07-01,705
2020-06-30,705
2020-06-29,703
2020-06-28,702
2020-06-27,700
2020-06-26,698
2020-06-25,698
2020-06-24,693
2020-06-23,693
2020-06-22,690
2020-06-21,690
2020-06-20,688
2020-06-19,688
2020-06-18,688
2020-06-17,687
2020-06-16,681
2020-06-15,678
2020-06-14,677
2020-06-13,677
2020-06-12,675
2020-06-11,674
2020-06-10,673
2020-06-09,672
2020-06-08,672
2020-06-07,672
2020-06-06,672
2020-06-05,672
2020-06-04,670
2020-06-03,670
2020-06-02,669
2020-06-01,668
2020-05-31,668
2020-05-30,668
2020-05-29,668
2020-05-28,668
2020-05-27,645
2020-05-26,643
2020-05-25,641
2020-05-24,640
2020-05-23,639
2020-05-22,635
2020-05-21,633
2020-05-20,633
2020-05-19,632
2020-05-18,629
2020-05-17,629
2020-05-16,629
2020-05-15,628
2020-05-14,626
2020-05-13,624
2020-05-12,623
2020-05-11,620
2020-05-10,618
2020-05-09,615
2020-05-08,614
2020-05-07,609
2020-05-06,608
2020-05-05,606
2020-05-04,600
2020-05-03,598
2020-05-02,596
2020-05-01,589
2020-04-30,584
2020-04-29,580
2020-04-28,569
2020-04-27,549
2020-04-26,542
2020-04-25,536
2020-04-24,530
2020-04-23,522
2020-04-22,510
2020-04-21,491
2020-04-20,470
2020-04-19,452
2020-04-18,443
2020-04-17,431
2020-04-16,410
2020-04-15,393
2020-04-14,384
2020-04-13,368
2020-04-12,350
2020-04-11,337
2020-04-10,319
2020-04-09,295
2020-04-08,273
2020-04-07,243
2020-04-06,220
2020-04-05,204
2020-04-04,186
2020-04-03,168
2020-04-02,158
2020-04-01,146
2020-03-31,128
2020-03-30,108
2020-03-29,86
2020-03-28,68
2020-03-27,58
2020-03-26,49
2020-03-25,30
2020-03-24,28
2020-03-23,21
2020-03-22,16
2020-03-21,8
2020-03-20,6
2020-03-19,6
2020-03-18,4
2020-03-17,3
2020-03-16,3
2020-03-15,1
2020-03-14,1
2020-03-13,1
2020-03-12,1
2020-03-11,0
2020-03-10,0
2020-03-09,0
2020-03-08,0
2020-03-07,0
2020-03-06,0
2020-03-05,0
2020-03-04,0
2020-03-03,0
2020-03-02,0
2020-03-01,0
2020-02-29,0
2020-02-28,0
2020-02-27,0
2020-02-26,0
2020-02-25,0
